Date,Armii Krajowej,Bora-Komorowskiego,Bulwary,Dworzec Główny,Grzegórzecka,Kamieńskiego,Klimeckiego,Kopernika,Kotlarska,Mogilska,Monte Cassino,Niepołomska,Nowohucka,Smoleńsk,Tyniecka,Wadowicka,Wielicka
2016/11/18,,,421,,,,,,560,907,,,,,,212,329
2016/11/19,,,328,,,,,,232,438,,,,,,206,151
2016/11/20,,,539,,,,,,285,549,,,,,,212,182
2016/11/21,,,1002,,,,,,953,1501,,,,,,382,479
2016/11/22,,,1132, ,,,,,1039,1626,,,,,,386,502
2016/11/23,,,972,,,,,,996,1555,,,,,,319,440
2016/11/24,,,701,,,,,,787,1270,,,,,,255,358
2016/11/25,,,454,,,,,,551,906,,,,,,158,222
2016/11/26,,,259,,,,,,265,385,,,,,,107,109
2016/11/27,,,127,,,,,,102,246,,,,,,117,58
2016/11/28,,,357,,,,,,493,804,,,,,,155,204
2016/11/29,,,336,,,,,,497,801,,,,,,219,194
2016/11/30,,,370,,,,,,467,821,,,,,,252,199
2016/12/01,,,233,,,,,,311,494,,,,,,172,122
2016/12/02,,,278,,,,,,375,553,,,,,,185,138
2016/12/03,,,185,,,,,,165,298,,,,,,72,55
2016/12/04,,,251,,,,,,183,291,,,,,,93,78
2016/12/05,,,382,,,,,,475,734,,,,,,272,185
2016/12/06,,,361,,,,,,482,757,,,,,,235,215
2016/12/07,,,405,,,,,,513,803,,,,,,237,204
2016/12/08,,,436,,,,,,530,839,,,,,,304,206
2016/12/09,,,400,,,,,,498,812,,,,,,291,227
2016/12/10,,,256,,,,,,199,385,,,,,,94,134
2016/12/11,,,178,,,,,,113,231,,,,,,36,69
2016/12/12,,,249,,,,,,361,612,,,,,,127,162
2016/12/13,,,336,,,,,,439,788,,,,,,204,184
2016/12/14,,,286,,,,,,413,697,,,,,,186,169
2016/12/15,,,278,,,,,,403,705,,,,,,208,184
2016/12/16,,,345,,,,,,429,755,,,,,,182,190
2016/12/17,,,206,,,,,,153,338,,,,,,88,106
2016/12/18,,,104,,,,,,96,193,,,,,,71,51
2016/12/19,,,319,,,,,,396,738,,,,,,233,181
2016/12/20,,,372,,,,,,501,788,,,,,,231,227
2016/12/21,,,303,,,,,,493,759,,,,,,260,209
2016/12/22,,,283,,,,,,417,702,,,,,,251,178
2016/12/23,,,199,,,,,,302,456,,,,,,146,125
2016/12/24,,,51,,,,,,50,95,,,,,,44,40
2016/12/25,,,39,,,,,,15,43,,,,,,8,14
2016/12/26,,,82,,,,,,47,93,,,,,,37,28
2016/12/27,,,130,,,,,,165,317,,,,,,125,81
2016/12/28,,,258,,,,,,316,525,,,,,,142,116
2016/12/29,,,284,,,,,,303,552,,,,,,172,141
2016/12/30,,,262,,,,,,284,495,,,,,,143,134
2016/12/31,,,134,,,,,,119,210,,,,,,65,76
2017/01/01,,,201,,,,,,80,172,,,,,,74,50
2017/01/02,,,262,,,,,,315,495,,,,,,149,136
2017/01/03,,,136,,,,,,262,414,,,,,,74,92
2017/01/04,,,0,,,,,,246,411,,,,,,73,96
2017/01/05,,,1,,,,,,230,369,,,,,,43,103
2017/01/06,,,0,,,,,,50,60,,,,,,24,14
2017/01/07,,,0,,,,,,27,55,,,,,,12,24
2017/01/08,,,0,,,,,,41,86,,,,,,1,18
2017/01/09,,,4,,,,,,198,326,,,,,,31,92
2017/01/10,,,10,,,,,,224,387,,,,,,38,95
2017/01/11,,,6,,,,,,234,366,,,,,,66,74
2017/01/12,,,24,,,,,,245,394,,,,,,89,99
2017/01/13,,,36,,,,,,317,479,,,,,,157,115
2017/01/14,,,29,,,,,,98,191,,,,,,27,46
2017/01/15,,,34,,,,,,28,125,,,,,,13,26
2017/01/16,,,96,,,,,,288,514,,,,,,107,117
2017/01/17,,,118,,,,,,309,519,,,,,,120,133
2017/01/18,,,129,,,,,,270,445,,,,,,123,89
2017/01/19,,,112,,,,,,255,435,,,,,,124,130
2017/01/20,,,127,,,,,,279,407,,,,,,96,82
2017/01/21,,,57,,,,,,94,192,,,,,,48,42
2017/01/22,,,99,,,,,,97,148,,,,,,23,51
2017/01/23,,,172,,,,,,317,484,,,,,,104,135
2017/01/24,,,159,,,,,,309,449,,,,,,128,124
2017/01/25,,,174,,,,,,342,501,,,,,,102,139
2017/01/26,,,161,,,,,,291,479,,,,,,122,111
2017/01/27,,,181,,,,,,319,447,,,,,,161,111
2017/01/28,,,76,,,,,,76,173,,,,,,26,52
2017/01/29,,,55,,,,,,70,125,,,,,,49,33
2017/01/30,,,146,,,,,,254,331,,,,,,127,91
2017/01/31,,,157,,,,,,274,373,,,,,,103,116
2017/02/01,,,161,,,,,,288,395,,,,,,94,100
2017/02/02,,,121,,,,,,235,353,,,,,,100,117
2017/02/03,,,113,,,,,,252,374,,,,,,109,86
2017/02/04,,,54,,,,,,74,156,,,,,,37,51
2017/02/05,,,48,,,,,,46,112,,,,,,22,24
2017/02/06,,,169,,,,,,310,423,,,,,,110,113
2017/02/07,,,155,,,,,,262,406,,,,,,132,115
2017/02/08,,,153,,,,,,283,406,,,,,,125,115
2017/02/09,,,135,,,,,,250,383,,,,,,147,106
2017/02/10,,,158,,,,,,274,405,,,,,,119,111
2017/02/11,,,117,,,,,,98,169,,,,,,43,40
2017/02/12,,,114,,,,,,109,157,,,,,,27,50
2017/02/13,,,167,,,,,,274,368,,,,,,136,129
2017/02/14,,,225,,,,,,318,449,,,,,,131,141
2017/02/15,,,283,,,,,,371,526,,,,,,167,170
2017/02/16,,,373,,,,,,367,569,,,,,,179,166
2017/02/17,,,207,,,,,,315,411,,,,,,153,106
2017/02/18,,,97,,,,,,94,175,,,,,,46,42
2017/02/19,,,146,,,,,,121,189,,,,,,54,88
2017/02/20,,,452,,,,,,541,692,,,,,,184,217
2017/02/21,,,200,,,,,,287,449,,,,,,112,123
2017/02/22,,,254,,,,,,400,571,,,,,,139,154
2017/02/23,,,218,,,,,,360,512,,,,,,133,150
2017/02/24,,,238,,,,,,384,547,,,,,,130,146
2017/02/25,,,252,,,,,,171,278,,,,,,63,90
2017/02/26,,,301,,,,,,179,290,,,,,,78,101
2017/02/27,,,974,,,,,,802,1199,,,,,,248,328
2017/02/28,,,777,,,,,,825,1224,,,,,,299,384
2017/03/01,,,458,,,,,,552,947,,,,,,185,220
2017/03/02,,,633,,,,,,702,1083,,,,,,264,296
2017/03/03,,,679,,,,,,690,1129,,,,,,195,322
2017/03/04,,,1611,,,,,,660,1013,,,,,,184,380
2017/03/05,,,1930,,,,,,726,1046,,,,,,153,374
2017/03/06,,,364,,,,,,456,786,,,,,,161,189
2017/03/07,,,681,,,,,,760,1160,,,,,,220,311
2017/03/08,,,577,,,,,,726,1139,,,,,,209,277
2017/03/09,,,383,,,,,,556,897,,,,,,230,217
2017/03/10,,,513,,,,,,611,961,,,,,,312,254
2017/03/11,,,711,,,,,,410,668,,,,,,99,244
2017/03/12,,,275,,,,,,178,346,,,,,,54,85
2017/03/13,,,539,,,,,,705,1056,,,,,,278,286
2017/03/14,,,688,,,,,,789,1324,,,,,,320,368
2017/03/15,,,676,,,,,,803,1220,,,,,,286,311
2017/03/16,,,690,,,,,,851,1293,,,,,,282,384
2017/03/17,,,958,,,,,,886,1390,,,,,,316,428
2017/03/18,,,129,,,,,,148,233,,,,,,52,87
2017/03/19,,,602,,,,,,340,548,,,,,,98,161
2017/03/20,,,600,,,,,,678,1112,,,,,,235,258
2017/03/21,,,1360,,,,,,1224,1883,,,,,,388,558
2017/03/22,,,245,,,,,,302,502,,,,,,124,106
2017/03/23,,,507,,,,,,682,1041,,,,,,210,245
2017/03/24,,,607,,,,,,807,1160,,,,,,268,300
2017/03/25,,,1066,,,,,,555,821,,,,,,164,319
2017/03/26,,,750,,,,,,331,593,,,,,,115,195
2017/03/27,,,1364,,,,,,1207,1778,,,,,,361,575
2017/03/28,,,2183,,,,,,1781,2382,,,,,,482,711
2017/03/29,,,1382,,,,,,1481,2168,,,,,,435,647
2017/03/30,,,1122,,,,,,1140,1753,,,,,,399,495
2017/03/31,,,2220,,,,,,1666,2498,,,,,,496,752
2017/04/01,,,3701,,,,,,1563,2027,,,,,,335,789
2017/04/02,,,4262,,,,,,1620,2177,,,,,,357,930
2017/04/03,,,1542,,,,,,1644,2511,,,,,,510,748
2017/04/04,,,2013,,,,,,1871,2791,,,,,,562,826
2017/04/05,,,1313,,,,,,1337,2002,,,,,,447,618
2017/04/06,,,521,,,,,,688,1093,,,,,,279,285
2017/04/07,,,360,,,,,,497,730,,,,,,198,206
2017/04/08,,,1058,,,,,,562,956,,,,,,181,319
2017/04/09,,,2812,,,,,,1142,1557,,,,,,265,618
2017/04/10,,,2830,,,,,,2195,3119,,,,,,628,1089
2017/04/11,,,739,,,,,,832,1432,,,,,,315,411
2017/04/12,,,1077,,,,,,1263,1966,,,,,,390,528
2017/04/13,,,548,,,,,,662,1083,,,,,,238,322
2017/04/14,,,705,,,,,,674,1076,,,,,,236,353
2017/04/15,,,579,,,,,,266,436,,,,,,78,181
2017/04/16,,,333,,,,,,147,226,,,,,,46,79
2017/04/17,,,412,,,,,,173,302,,,,,,53,134
2017/04/18,,,165,,,,,,223,360,,,,,,87,109
2017/04/19,,,272,,,,,,387,611,,,,,,135,161
2017/04/20,,,478,,,,,,610,1030,,,,,,266,245
2017/04/21,,,764,,,,,,822,1295,,,,,,326,348
2017/04/22,,,584,,,,,,387,584,,,,,,117,174
2017/04/23,,,492,,,,,,291,577,,,,,,134,164
2017/04/24,,,1092,,,,,,1192,1769,,,,,,362,475
2017/04/25,,,1391,,,,,,1446,2200,,,,,,471,655
2017/04/26,,,440,,,,,,614,954,,,,,,220,249
2017/04/27,,,258,,,,,,340,527,,,,,,131,150
2017/04/28,,,234,,,,,,300,510,,,,,,132,145
2017/04/29,,,686,,,,,,430,625,,,,,,121,250
2017/04/30,,,784,,,,,,503,677,,,,,,104,305
2017/05/01,,,1932,,,,,,941,1135,,,,,,198,552
2017/05/02,,,691,,,,,,533,758,,,,,,175,312
2017/05/03,,,1494,,,,,,622,957,,,,,,144,419
2017/05/04,,,760,,,,,,775,1163,,,,,,295,382
2017/05/05,,,1719,,,,,,1312,1812,,,,,,411,681
2017/05/06,,,1131,,,,,,657,1058,,,,,,211,418
2017/05/07,,,1900,,,,,,693,1026,,,,,,228,416
2017/05/08,,,978,,,,,,985,1593,,,,,,351,452
2017/05/09,,,1074,,,,,,1190,1785,,,,,,409,539
2017/05/10,,,1203,,,,,,1268,1920,,,,,,421,563
2017/05/11,,,2838,,,,,,2106,3031,,,,,,624,994
2017/05/12,,,966,,,,,,904,1367,,,,,,313,458
2017/05/13,,,594,,,,,,460,738,,,,,,149,186
2017/05/14,,,4706,,,,,,1952,2341,,,,,,440,1063
2017/05/15,,,2272,,,,,,2275,3234,,,,,,698,1024
2017/05/16,,,1794,,,,,,1732,2673,,,,,,605,772
2017/05/17,,,3468,,,,,,3125,4157,,,,,,909,1264
2017/05/18,,,3615,,,,,,3181,4402,,,,,,1019,1348
2017/05/19,,,3477,,,,,,3218,4003,,,,,,914,1368
2017/05/20,,,2413,,,,,,1493,1919,,,,,,417,742
2017/05/21,,,1553,,,,,,913,1302,,,,,,274,462
2017/05/22,,,3073,,,,,,2991,3997,,,,,,998,1273
2017/05/23,,,1984,,,,,,2292,3137,,,,,,810,1055
2017/05/24,,,938,,,,,,1284,1848,,,,,,467,588
2017/05/25,,,1283,,,,,,1334,2029,,,,,,480,552
2017/05/26,,,2069,,,,,,2139,3025,,,,,,741,919
2017/05/27,,,3156,,,,,,1767,2143,,,,,,474,928
2017/05/28,,,5172,,,,,,2446,2775,,,,,,555,1279
2017/05/29,,,3602,,,,,,3376,4430,,,,,,1121,1510
2017/05/30,,,2280,,,,,,2665,3709,,,,,,1026,1152
2017/05/31,,,2764,,,,,,2829,3651,,,,,,973,1178
2017/06/01,,,3623,,,,,,3415,4631,,,,,,1115,1460
2017/06/02,,,3494,,,,,,3263,4399,,,,,,1041,1333
2017/06/03,,,4020,,,,,,2255,2802,,,,,,593,1115
2017/06/04,,,2961,,,,,,1513,1905,,,,,,338,799
2017/06/05,,,2552,,,,,,2835,3894,,,,,,992,1131
2017/06/06,,,2579,,,,,,3098,4227,,,,,,1052,1322
2017/06/07,,,2728,,,,,,3087,4213,,,,,,1099,1245
2017/06/08,,,3125,,,,,,3460,4522,,,,,,1024,1553
2017/06/09,,,3109,,,,,,3370,4310,,,,,,1026,1431
2017/06/10,,,1084,,,,,,913,1301,,,,,,379,492
2017/06/11,,,4043,,,,,,2305,2690,,,,,,522,1096
2017/06/12,,,1963,,,,,,2450,3391,,,,,,987,1287
2017/06/13,,,2179,,,,,,3091,4329,,,,,,1158,1370
2017/06/14,,,1931,,,,,,2610,3686,,,,,,913,1166
2017/06/15,,,4658,,,,,,2363,2662,,,,,,606,1311
2017/06/16,,,948,,,,,,1089,1484,,,,,,463,628
2017/06/17,,,454,,,,,,449,661,,,,,,181,221
2017/06/18,,,2936,,,,,,1607,2024,,,,,,447,860
2017/06/19,,,2835,,,,,,3338,4546,,,,,,1131,1529
2017/06/20,,,3559,,,,,,3749,4995,,,,,,1005,1572
2017/06/21,,,3146,,,,,,3835,5047,,,,,,991,1605
2017/06/22,,,3179,,,,,,3619,4956,,,,,,1003,1593
2017/06/23,,,1283,,,,,,1838,2746,,,,,,699,790
2017/06/24,,,3032,,,,,,1858,2827,,,,,,544,984
2017/06/25,,,3500,,,,,,2175,2691,,,,,,537,1013
2017/06/26,,,2088,,,,,,3346,4422,,,,,,881,1469
2017/06/27,,,2941,,,,,,3738,4737,,,,,,943,1509
2017/06/28,,,2130,,,,,,3370,4325,,,,,,903,1398
2017/06/29,,,2092,,,,,,2881,3989,,,,,,699,1239
2017/06/30,,,2272,,,,,,3222,4130,,,,,,834,1307
2017/07/01,,,1718,,,,,,1238,1560,,,,,,526,627
2017/07/02,,,1239,,,,,,939,1268,,,,,,392,468
2017/07/03,,,2664,,,,,,3146,4117,,,,,,1122,1385
2017/07/04,,,3016,,,,,,3194,4267,,,,,,981,1410
2017/07/05,,,2375,,,,,,2901,3910,,,,,,952,1320
2017/07/06,,,3139,,,,,,3113,4247,,,,,,1092,1337
2017/07/07,,,1861,,,,,,2347,3327,,,,,,921,1063
2017/07/08,,,1521,,,,,,955,1393,,,,,,496,551
2017/07/09,,,4059,,,,,,2194,2554,,,,,,571,1062
2017/07/10,,,2430,,,,,,2771,3689,,,,,,951,1155
2017/07/11,,,1759,,,,,,2139,2968,,,,,,654,906
2017/07/12,,,3388,,,,,,3589,4607,,,,,,1026,1455
2017/07/13,,,1442,,,,,,1520,2162,,,,,,599,730
2017/07/14,,,2760,,,,,,2850,3732,,,,,,1021,1246
2017/07/15,,,1597,,,,,,996,1332,,,,,,355,470
2017/07/16,,,4445,,,,,,2119,2477,,,,,,492,1051
2017/07/17,,,2489,,,,,,2868,3801,,,,,,1037,1318
2017/07/18,,,3990,,,,,,3908,4717,,,,,,1043,1556
2017/07/19,,,3686,,,,,,3738,4555,,,,,,904,1497
2017/07/20,,,3790,,,,,,4182,4567,,,,,,915,1529
2017/07/21,,,2074,,,,,,2435,3026,,,,,,588,924
2017/07/22,,,3148,,,,,,1827,2209,,,,,,405,885
2017/07/23,,,2327,,,,,,1439,1768,,,,,,260,682
2017/07/24,,,2706,,,,,,3104,4031,,,,,,917,1318
2017/07/25,,,1834,,,,,,2488,3178,,,,,,829,1041
2017/07/26,,,3122,,,,,,3228,4031,,,,,,1057,1465
2017/07/27,,,2973,,,,,,3266,4154,,,,,,1047,1456
2017/07/28,,,1960,,,,,,2230,3076,,,,,,736,1039
2017/07/29,,,3276,,,,,,1802,2352,,,,,,500,912
2017/07/30,,,3356,,,,,,1888,2049,,,,,,359,823
2017/07/31,,,2856,,,,,,3147,4004,,,,,,673,1306
2017/08/01,,,2920,,,,,,3313,4135,,,,,,614,1318
2017/08/02,,,2860,,,,,,3070,3883,,,,,,649,1242
2017/08/03,,,2563,,,,,,2940,3810,,,,,,567,1197
2017/08/04,,,2414,,,,,,2662,3514,,,,,,556,1147
2017/08/05,,,2671,,,,,,1611,1825,,,,,,297,768
2017/08/06,,,1400,,,,,,924,1360,,,,,,175,409
2017/08/07,,,2034,,,,,,2095,2876,,,,,,693,843
2017/08/08,,,3095,,,,,,3291,4220,,,,,,901,1385
2017/08/09,,,3287,,,,,,3474,4297,,,,,,829,1431
2017/08/10,,,2659,,,,,,3018,3900,,,,,,534,1275
2017/08/11,,,2380,,,,,,2679,3558,,,,,,484,1178
2017/08/12,,,667,,,,,,547,855,,,,,,131,323
2017/08/13,,,2577,,,,,,0,1673,,,,,,313,644
2017/08/14,,,2648,,,,,,1273,2868,,,,,,639,1072
2017/08/15,,,4705,,,,,,2387,2733,,,,,,412,1235
2017/08/16,,,3021,,,,,,3174,4049,,,,,,837,1354
2017/08/17,,,3047,,,,,,3150,4208,,,,,,730,1388
2017/08/18,,,2903,,,,,,2919,3819,,,,,,567,1303
2017/08/19,,,1459,,,,,,1044,1378,,,,,,223,515
2017/08/20,,,134,,,,,,0,253,,,,,,54,84
2017/08/21,,,2208,,,,,,3111,3310,,,,,,801,1074
2017/08/22,,,2545,,,,,,0,3803,,,,,,849,1288
2017/08/23,,,2290,,,,,,0,3527,,,,,,873,1109
2017/08/24,,,3404,,,,,,6142,4173,,,,,,935,1369
2017/08/25,,,2742,,,,,,0,3781,,,,,,861,1226
2017/08/26,,,2345,,,,,,0,1818,,,,,,367,632
2017/08/27,,,3156,,,,,,0,2097,,,,,,367,843
2017/08/28,,,2583,,,,,,0,3924,,,,,,955,1276
2017/08/29,,,3408,,,,,,0,4558,,,,,,1050,1488
2017/08/30,,,3526,,,,,,0,4678,,,,,,1018,1517
2017/08/31,,,3712,,,,,,0,4588,,,,,,1083,1495
2017/09/01,,,2614,,,,,,0,3765,,,,,,834,1202
2017/09/02,,,1079,,,,,,0,1219,,,,,,295,235
2017/09/03,,,550,,,,,,0,673,,,,,,122,198
2017/09/04,,,1710,,,,,,0,2788,,,,,,664,1096
2017/09/05,,,965,,,,,,0,2069,,,,,,490,815
2017/09/06,,,1444,,,,,,0,2429,,,,,,574,953
2017/09/07,,,1577,,,,,,0,2929,,,,,,654,1138
2017/09/08,,,2534,,,,,,1821,3493,,,,,,755,1348
2017/09/09,,,3351,,,,,,1737,2101,,,,,,435,805
2017/09/10,,,3496,,,,,,1689,2046,,,,,,394,775
2017/09/11,,,2211,,,,,,2519,3492,,,,,,876,1387
2017/09/12,,,589,,,,,,717,1053,,,,,,281,426
2017/09/13,,,2125,,,,,,2442,3270,,,,,,783,1287
2017/09/14,,,2405,,,,,,2501,3376,,,,,,790,1323
2017/09/15,,,1577,,,,,,2046,2601,,,,,,657,1033
2017/09/16,,,591,,,,,,473,643,,,,,,200,268
2017/09/17,,,248,,,,,,195,342,,,,,,85,136
2017/09/18,,,2044,,,,,,2263,2842,,,,,,765,1145
2017/09/19,,,1013,,,,,,1468,1969,,,,,,527,793
2017/09/20,,,599,,,,,,812,1141,,,,,,335,470
2017/09/21,,,291,,,,,,379,581,,,,,,147,232
2017/09/22,,,475,,,,,,629,1027,,,,,,212,394
2017/09/23,,,144,,,,,,127,228,,,,,,62,91
2017/09/24,,,1137,,,,,,577,809,,,,,,175,312
2017/09/25,,,1321,,,,,,1566,2192,,,,,,573,878
2017/09/26,,,1424,,,,,,1894,2489,,,,,,583,975
2017/09/27,,,1783,,,,,,2023,2744,,,,,,607,707
2017/09/28,,,1862,,,,,,2154,2884,,,,,,635,918
2017/09/29,,,1544,,,,,,1796,2466,,,,,,546,795
2017/09/30,,,1486,,,,,,956,1244,,,,,,238,475
2017/10/01,,,2286,,,,,,1210,1399,,,,,,226,619
2017/10/02,,,1928,,,,,,2100,2933,,,,,,565,917
2017/10/03,,,499,,,,,,698,1074,,,,,,222,308
2017/10/04,,,1331,,,,,,1711,2426,,,,,,543,677
2017/10/05,,,748,,,,,,1155,1660,,,,,,384,477
2017/10/06,,,544,,,,,,861,1270,,,,,,341,337
2017/10/07,,,514,,,,,,428,685,,,,,,165,205
2017/10/08,,,402,,,,,,301,498,,,,,,92,159
2017/10/09,,,1047,,,,,,1464,2243,,,,,,443,568
2017/10/10,,,935,,,,,,1429,2032,,,,,,424,559
2017/10/11,,,1002,,,,,,1370,2084,,,,,,413,562
2017/10/12,,,1336,,,,,,1736,2515,,,,,,515,751
2017/10/13,,,1087,,,,,,1498,2207,,,,,,449,652
2017/10/14,,,1229,,,,,,781,1191,,,,,,202,391
2017/10/15,,,1562,,,,,,1261,1463,,,,,,225,535
2017/10/16,,,2284,,,,,,2392,3175,,,,,,621,946
2017/10/17,,,2426,,,,,,2453,3436,,,,,,648,1039
2017/10/18,,,2245,,,,,,2456,3231,,,,,,621,963
2017/10/19,,,1870,,,,,,2226,3113,,,,,,604,914
2017/10/20,,,1179,,,,,,1551,2282,,,,,,443,669
2017/10/21,,,858,,,,,,605,957,,,,,,179,313
2017/10/22,,,310,,,,,,278,474,,,,,,101,122
2017/10/23,,,281,,,,,,465,709,,,,,,178,175
2017/10/24,,,744,,,,,,1125,1792,,,,,,360,438
2017/10/25,,,810,,,,,,1232,2624,,,,,,367,484
2017/10/26,,,1058,,,,,,1366,2547,,,,,,442,629
2017/10/27,,,397,,,,,,569,1011,,,,,,185,229
2017/10/28,,,168,,,,,,190,309,,,,,,72,106
2017/10/29,,,66,,,,,,83,264,,,,,,28,37
2017/10/30,,,473,,,,,,800,1181,,,,,,248,313
2017/10/31,,,579,,,,,,900,987,,,,,,259,381
2017/11/01,,,273,,,,,,306,631,,,,,,58,128
2017/11/02,,,575,,,,,,737,1280,,,,,,222,297
2017/11/03,,,470,,,,,,664,1229,,,,,,209,291
2017/11/04,,,1210,,,,,,667,675,,,,,,171,354
2017/11/05,,,1223,,,,,,668,904,,,,,,137,332
2017/11/06,,,1040,,,,,,1304,2000,,,,,,351,533
2017/11/07,,,831,,,,,,1197,1919,,,,,,360,496
2017/11/08,,,750,,,,,,1103,1715,,,,,,303,417
2017/11/09,,,733,,,,,,1043,1616,,,,351,,295,441
2017/11/10,,,658,,,,,,892,1360,,,,511,,265,371
2017/11/11,,,334,,,,,,239,504,,,,213,,71,136
2017/11/12,,,393,,,,,,278,520,,,,205,,63,167
2017/11/13,,,285,,,,,,520,798,,,,288,,159,206
2017/11/14,,,589,,,,,,960,1395,,,,497,,240,400
2017/11/15,,,653,,,,,,985,1497,496,,,509,245,270,312
2017/11/16,,,708,413,,,,,945,1530,780,,,537,446,241,373
2017/11/17,,,335,385,,,,,577,841,472,,,324,185,153,210
2017/11/18,,,301,219,,,,,261,480,243,,,224,244,100,113
2017/11/19,,,433,188,,,,,297,538,323,,,198,470,89,136
2017/11/20,,,364,407,,,,,507,844,450,,,325,206,164,202
2017/11/21,,,420,510,,,,,670,1056,519,,,373,228,171,206
2017/11/22,,,427,509,,,,,645,1020,516,,,419,234,182,235
2017/11/23,,,750,629,,,,,951,1395,824,,,523,497,239,395
2017/11/24,,,735,629,,,,,943,1363,749,,,481,482,244,387
2017/11/25,,,535,286,,,,,373,617,424,,,241,624,101,198
2017/11/26,,,163,108,,,,,180,347,184,,,189,163,58,82
2017/11/27,,,488,536,,,,,735,1151,650,,,430,312,222,308
2017/11/28,,,558,596,,,,,819,1235,709,,,450,382,195,331
2017/11/29,,,304,388,,,,,467,780,429,,,327,182,156,174
2017/11/30,,,221,290,,,,,320,563,313,,,246,133,106,121
2017/12/01,,,250,368,,,,,435,749,398,,,269,200,141,121
2017/12/02,,,106,135,,,,,128,213,115,,,118,106,74,36
2017/12/03,,,95,75,,,,,80,163,109,,,100,72,37,29
2017/12/04,,,195,252,,,,,318,562,281,,,231,170,140,105
2017/12/05,,,247,344,,,,,418,709,370,,,287,193,138,181
2017/12/06,,,232,360,,,,,445,678,367,,,317,158,125,205
2017/12/07,,,401,454,,,,,612,931,516,,,388,316,153,275
2017/12/08,,,374,445,,,,,549,884,472,,,345,261,224,262
2017/12/09,,,134,159,,,,,178,326,185,,,186,153,86,103
2017/12/10,,,303,145,,,,,227,384,245,,,150,390,95,113
2017/12/11,,,508,538,,,,,697,1095,577,,,402,308,240,278
2017/12/12,,,497,572,,,,,812,1238,634,,,493,343,209,314
2017/12/13,,,471,528,,,,,691,1110,618,,,475,325,208,268
2017/12/14,,,410,486,,,,,670,1072,531,,,440,263,264,251
2017/12/15,,,385,447,,,,,584,932,485,,,369,215,184,232
2017/12/16,,,142,134,,,,,171,335,178,,,195,190,121,93
2017/12/17,,,149,98,,,,,150,261,162,,,141,137,64,69
2017/12/18,,,292,352,,,,,530,809,390,,,328,197,252,191
2017/12/19,,,308,392,,,,,542,891,410,,,350,219,287,199
2017/12/20,,,286,362,,,,,498,767,388,,,348,194,231,203
2017/12/21,,,249,305,,,,,444,666,362,,,315,171,230,155
2017/12/22,,,211,246,,,,,376,557,264,,,266,135,130,144
2017/12/23,,,58,61,,,,,76,136,93,,,128,41,33,45
2017/12/24,,,40,40,,,,,48,70,45,,,47,52,13,34
2017/12/25,,,229,62,,,,,110,171,119,,,76,278,24,65
2017/12/26,,,257,56,,,,,120,218,122,,,82,269,60,69
2017/12/27,,,364,230,,,,,336,562,270,,,219,349,130,166
2017/12/28,,,347,257,,,,,377,609,320,,,202,244,116,167
2017/12/29,,,135,171,,,,,201,362,196,,,161,90,74,97
2017/12/30,,,282,114,,,,,162,286,175,,,142,297,79,94
2017/12/31,,,148,85,,,,,134,251,123,,,97,185,51,71
2018/01/01,,,252,85,,,,,132,205,153,,,100,222,66,59
2018/01/02,,,354,300,,,,,393,660,350,,,257,238,175,168
2018/01/03,,,360,373,,,,,493,817,440,,,326,250,222,221
2018/01/04,,,489,449,,,,,635,983,579,,,374,335,228,265
2018/01/05,,,448,440,,,,,578,935,513,,,358,342,188,251
2018/01/06,,,424,125,,,,,271,388,283,,,144,475,49,129
2018/01/07,,,166,82,,,,,143,233,154,,,113,184,35,82
2018/01/08,,,251,344,,,,,470,723,358,,,291,180,141,180
2018/01/09,,,344,466,,,,,552,831,408,,,321,277,164,177
2018/01/10,,,388,476,,,,,579,918,499,,,382,252,326,220
2018/01/11,,,303,404,,,,,486,845,438,,,262,202,319,206
2018/01/12,,,277,374,,,,,434,750,378,,,291,191,248,180
2018/01/13,,,130,123,,,,,125,261,179,,,134,127,91,85
2018/01/14,,,117,105,,,,,176,268,148,,,143,253,87,93
2018/01/15,,,288,313,,,,,505,719,370,,,279,179,414,182
2018/01/16,,,276,340,,,,,465,685,349,,,254,232,277,143
2018/01/17,,,219,306,,,,,394,641,326,,,262,195,286,130
2018/01/18,,,257,288,,,,,361,586,350,,,226,187,287,155
2018/01/19,,,236,316,,,,,404,589,344,,,232,165,269,128
2018/01/20,,,134,130,,,,,114,242,157,,,127,122,96,80
2018/01/21,,,35,13,,,,,64,80,56,,,52,64,24,19
2018/01/22,,,121,203,,,,,325,485,286,,,185,139,213,106
2018/01/23,,,124,286,,,,,358,578,302,,,223,156,224,135
2018/01/24,,,188,317,,,,,410,648,349,,,273,153,235,168
2018/01/25,,,278,367,,,,,457,700,457,,,284,249,290,205
2018/01/26,,,278,333,,,,,427,599,370,,,268,195,246,165
2018/01/27,,,136,111,,,,,128,249,155,,,128,111,89,79
2018/01/28,,,131,83,,,,,122,181,122,,,115,162,75,57
2018/01/29,,,391,379,,,,,486,772,458,,,298,255,338,231
2018/01/30,,,341,375,,,,,504,733,463,,,299,207,343,197
2018/01/31,,,445,408,,,,,579,897,531,,,335,303,361,245
2018/02/01,,,349,366,,,,,515,763,459,,,280,231,306,225
2018/02/02,,,307,329,,,,,426,655,408,,,270,217,284,173
2018/02/03,,,204,130,,,,,183,319,187,,,131,190,109,86
